Deporte,Fecha,Tiempo,Distancia,Frecuencia Media,Calorias,Tiempo Zona 1,Tiempo Zona 2,Tiempo Zona 3,Tiempo Zona 4,Tiempo Zona 5,Tipo,Tenis,Terreno
Correr,"Viernes, Abr 30, 2021 07:00 AM",01:00:10,10.15,154,696,00:08:26,00:06:11,00:10:36,00:28:04,00:06:02,Tempo Run,Pegasus 37,
Correr,"Sábado, Mayo 1, 2021 08:35 AM",00:27:57,5.45,158,338,00:00:13,00:00:19,00:11:56,00:14:50,00:00:00,Duatlón,Asics,
Ciclismo,"Sábado, Mayo 1, 2021 09:13 AM",02:59:44,55,133,1708,00:25:48,01:15:19,01:16:37,00:00:04,00:00:00,Duatlón,,Rodillo
Correr,"Sábado, Mayo 1, 2021 12:24 PM",00:53:51,11.27,165,688,00:00:47,00:00:24,00:03:34,00:48:53,00:00:00,Duatlón,Asics,
Caminata,"Lunes, Mayo 3, 2021 07:04 AM",00:31:15,2.88,113,225,00:24:37,00:03:51,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Mayo 3, 2021 07:35 AM",01:06:27,9.59,137,657,00:25:48,00:12:31,00:03:16,00:23:54,00:00:00,Velocity,Pegasus 36,
Correr,"Martes, Mayo 4, 2021 12:03 PM",02:01:57,21.47,156,1450,00:17:51,00:14:30,00:07:29,01:21:18,00:00:00,Long Run,Pegasus 37,
Ciclismo,"Miércoles, Mayo 5, 2021 12:20 PM",01:11:22,18,108,485,00:50:31,00:10:53,00:00:00,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Mayo 5, 2021 01:34 PM",01:06:42,6.1,100,391,00:37:15,00:00:00,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Jueves, Mayo 6, 2021 12:03 PM",00:30:04,3.05,115,223,00:12:10,00:13:45,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Mayo 6, 2021 12:34 PM",00:39:06,7.24,154,451,00:03:58,00:04:16,00:07:30,00:22:17,00:00:10,Velocity,Pegasus 36,
Correr,"Viernes, Mayo 7, 2021 12:20 PM",01:08:49,11.22,148,764,00:18:26,00:10:50,00:01:12,00:30:21,00:06:44,Tempo Run,Pegasus 37,
Correr,"Sábado, Mayo 8, 2021 08:50 AM",00:29:40,5.84,155,348,00:00:08,00:01:32,00:15:46,00:11:44,00:00:00,Duatlón,Asics,
Ciclismo,"Sábado, Mayo 8, 2021 09:23 AM",02:58:39,60,140,1829,00:00:45,01:23:02,01:27:59,00:05:27,00:00:14,Duatlón,,Rodillo
Correr,"Sábado, Mayo 8, 2021 12:32 PM",00:30:04,5.89,159,362,00:01:42,00:01:24,00:00:52,00:25:05,00:00:00,Duatlón,Asics,
Caminata,"Lunes, Mayo 10, 2021 07:01 AM",00:31:27,3.1,101,190,00:19:04,00:00:00,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Caminata,"Lunes, Mayo 10, 2021 07:34 AM",00:32:16,3.18,115,243,00:25:09,00:05:40,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Ciclismo,"Martes, Mayo 11, 2021 06:58 AM",01:02:57,19,120,513,00:23:51,00:37:57,00:00:00,00:00:00,00:00:00,Speed Bike,,Circuito
Ciclismo,"Jueves, Mayo 13, 2021 06:56 AM",01:25:02,22,124,726,00:17:50,01:05:54,00:00:00,00:00:00,00:00:00,Speed Bike,,Circuito
Ciclismo,"Viernes, Mayo 14, 2021 06:57 AM",00:49:56,13,135,483,00:00:42,00:31:44,00:15:53,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Viernes, Mayo 21, 2021 06:51 AM",00:28:31,2.76,118,228,00:08:16,00:18:59,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Viernes, Mayo 21, 2021 07:25 AM",00:20:56,5.02,145,227,00:05:54,00:02:43,00:02:14,00:09:36,00:00:00,Velocity,Pegasus 36,
Ciclismo,"Domingo, Mayo 23, 2021 08:42 AM",00:24:57,7.5,111,177,00:18:42,00:03:06,00:00:00,00:00:00,00:00:00,Speed Bike,,Circuito
Correr,"Domingo, Mayo 23, 2021 09:18 AM",00:46:10,10.09,170,616,00:00:13,00:00:42,00:02:15,00:35:16,00:07:15,Velocity,Pegasus 36,
Correr,"Martes, Mayo 25, 2021 07:03 AM",01:51:07,15.54,142,1033,00:13:18,00:30:08,00:19:34,00:34:51,00:00:00,Long Run,Pegasus 37,
Ciclismo,"Viernes, Mayo 28, 2021 06:52 AM",01:12:54,20,126,638,00:08:55,00:58:30,00:04:11,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Lunes, Mayo 31, 2021 07:01 AM",00:32:33,3.11,119,257,00:14:53,00:17:30,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Mayo 31, 2021 07:34 AM",00:42:43,7.54,155,493,00:01:01,00:08:43,00:06:03,00:25:45,00:01:03,Velocity,Pegasus 36,
Correr,"Martes, Jun 1, 2021 06:50 AM",02:00:04,20.05,156,1418,00:08:33,00:29:01,00:06:17,00:51:30,00:24:40,Long Run,Pegasus 37,
Ciclismo,"Miércoles, Jun 2, 2021 06:41 AM",00:56:07,,132,509,00:05:20,00:37:54,00:11:24,00:00:12,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Jun 2, 2021 07:39 AM",01:00:24,6.09,118,475,00:28:20,00:29:30,00:01:12,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Lunes, Jun 14, 2021 06:47 AM",00:31:13,2.97,114,231,00:21:41,00:08:19,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Jun 14, 2021 07:20 AM",00:30:58,5.35,151,339,00:01:02,00:06:47,00:09:55,00:13:05,00:00:00,Velocity,Pegasus 36,
Correr,"Martes, Jun 15, 2021 06:45 AM",01:14:31,11.13,146,805,00:15:40,00:14:58,00:10:44,00:32:52,00:00:12,Long Run,Pegasus 37,
Ciclismo,"Miércoles, Jun 16, 2021 06:43 AM",01:15:00,,121,623,00:18:04,00:53:36,00:00:02,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Jun 16, 2021 08:00 AM",00:59:00,6.03,120,481,00:21:23,00:36:46,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
Ciclismo,"Miércoles, Jun 30, 2021 06:42 AM",01:16:30,,128,686,00:05:21,01:05:43,00:03:06,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Jun 30, 2021 08:01 AM",01:02:38,6.06,118,493,00:32:14,00:29:05,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Jueves, Jul 1, 2021 07:00 AM",00:31:51,2.93,116,242,00:22:23,00:08:30,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Jul 1, 2021 07:33 AM",00:48:34,6.8,137,449,00:02:49,00:18:36,00:14:22,00:08:32,00:00:00,Velocity,Pegasus 36,
Correr,"Viernes, Jul 2, 2021 07:56 AM",00:18:33,3.19,154,212,00:00:24,00:02:23,00:03:26,00:11:41,00:00:00,Tempo Run,Pegasus 37,
Caminata,"Lunes, Jul 5, 2021 06:52 AM",00:31:57,3.01,117,247,00:20:27,00:11:13,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Jul 5, 2021 07:25 AM",00:26:49,4.7,146,281,00:00:47,00:07:25,00:10:40,00:07:05,00:00:00,Velocity,Pegasus 36,
Entrenamiento de fuerza,"Lunes, Jul 5, 2021 07:51 PM",01:01:43,,93,255,00:21:21,00:00:16,00:00:00,00:00:00,00:00:00,Fuerza,,
Correr,"Martes, Jul 6, 2021 07:01 AM",01:18:20,12.2,147,843,00:16:20,00:12:28,00:12:47,00:34:57,00:01:45,Long Run,Pegasus 37,
Ciclismo,"Miércoles, Jul 7, 2021 06:47 AM",01:12:35,20.52,146,782,00:01:25,00:07:35,00:51:35,00:09:10,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Jul 7, 2021 08:02 AM",01:04:20,6.09,117,497,00:36:04,00:25:47,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
